Name,mz,rt_start,rt_end,Product mz,Charge,CE,Training
cAMP,330.0597957,1.78,3.57,136.1,1,24,1
cAMP,330.0597957,1.78,3.57,97.1,1,20,1
cAMP,330.0597957,1.78,3.57,312.0,1,16,1
cAMP,330.0597957,1.78,3.57,119.1,1,40,1
Acetyl-CoA,810.133046,6.02,6.43,303.1,1,32,1
Acetyl-CoA,810.133046,6.02,6.43,428.0,1,28,1
Acetyl-CoA,810.133046,6.02,6.43,201.0,1,32,1
Acetyl-CoA,810.133046,6.02,6.43,435.4,1,12,1
Adenine,136.061776,2.18,3.22,119.1,1,24,1
Adenine,136.061776,2.18,3.22,92.1,1,32,1
Adenine,136.061776,2.18,3.22,65.2,1,40,1
Adenine,136.061776,2.18,3.22,67.2,1,32,1
Adenosine,268.10403199999996,2.12,3.34,136.1,1,16,1
Adenosine,268.10403199999996,2.12,3.34,119.1,1,40,1
Adenosine,268.10403199999996,2.12,3.34,57.2,1,32,1
Adenosine,268.10403199999996,2.12,3.34,55.2,1,36,1
ADP,428.03668600000003,6.96,7.77,136.1,1,28,1
ADP,428.03668600000003,6.96,7.77,348.0,1,16,1
ATP,508.003026,7.98,8.51,136.1,1,40,1
ATP,508.003026,7.98,8.51,410.0,1,16,1
ATP,508.003026,7.98,8.51,305.6,1,36,1
cAMP,328.0452437,1.78,3.57,134.0,-1,20,1
cAMP,328.0452437,1.78,3.57,79.1,-1,36,1
Acetyl-CoA,808.118494,6.02,6.43,423.6,-1,32,1
Adenine,134.047224,2.18,3.22,107.1,-1,16,1
Adenine,134.047224,2.18,3.22,92.1,-1,20,1
Adenine,134.047224,2.18,3.22,65.2,-1,36,1
Adenosine,266.08948080000005,2.12,3.34,134.1,-1,8,1
Adenosine,266.08948080000005,2.12,3.34,107.0,-1,40,1
ADP,426.022134,6.96,7.77,79.0,-1,36,1
ADP,426.022134,6.96,7.77,134.0,-1,24,1
ADP,426.022134,6.96,7.77,328.0,-1,8,1
ADP,426.022134,6.96,7.77,158.9,-1,28,1
ATP,505.988474,7.98,8.51,158.9,-1,40,1
Citrate,191.019724,8.85,9.32,111.0,-1,8,1
Citrate,191.019724,8.85,9.32,87.1,-1,16,1
Citrate,191.019724,8.85,9.32,85.1,-1,16,1
Citrate,191.019724,8.85,9.32,67.1,-1,24,1
G6P,259.022444,7.28,8.25,97.1,-1,12,1
Phenylalanine,166.086256,3.22,3.98,120.1,1,8,1
Phenylalanine,166.086256,3.22,3.98,103.1,1,28,1
Phenylalanine,166.086256,3.22,3.98,77.2,1,40,1
Phenylalanine,166.086256,3.22,3.98,91.1,1,40,1
