Name,mz,rt_start,rt_end,Charge
cAMP,330.0597957,1.78,3.57,1
cGMP,346.054706,5.17,5.58,1
6-PGA,277.031912,8.53,8.92,1
Acetoacetyl-CoA,852.143616,6.1,6.57,1
Acetyl-CoA,810.133046,6.02,6.43,1
Adenine,136.061776,2.18,3.22,1
Adenosine,268.104032,2.12,3.34,1
ADP,428.036686,6.96,7.77,1
Alanine,90.054956,6.07,6.5,1
Arginine,175.118956,11.5,12.2,1
Asparagine,133.060766,6.4,6.86,1
Aspartate,134.044786,6.45,6.95,1
ATP,508.003026,7.98,8.51,1
beta-Alanine,90.054956,6.53,6.99,1
Chelidamate,184.024076,6.46,6.95,1
cis-Aconitate,175.023716,8.05,9.74,1
CMP-sialic-acid,615.1545435,7,7.4,1
Cysteine,122.027026,6.99,7.43,1
Cystine,241.031126,6.95,7.43,1
Cytidine,244.092792,4.5,4.98,1
DHAP,171.005276,6.65,7.23,1
Dopamine,154.086276,10.66,13.26,1
F6P,261.036996,7.21,8.25,1
FBP,341.003326,8.9,9.33,1
G1P,261.036996,7.31,8.17,1
GABA,104.070606,6.51,7.03,1
GN6P,260.052976,7.48,8.03,1
G6P,261.036996,7.28,8.25,1
Glutamate,148.060436,6.16,6.54,1
Glutamine,147.076416,6.37,6.72,1
G3P,171.0053005,6.8,7.81,1
Glycine,76.039306,6.69,7.09,1
Guanosine,284.098942,5.08,5.48,1
Histamine,112.0869233,11.17,15.53,1
Histidine,156.076756,7.42,9.15,1
Homocystine,269.062426,7.06,7.53,1
Indole-3-acetate,176.0706045,1.32,2.4,1
Isoleucine,132.101906,4.24,4.72,1
Leucine,132.101906,3.87,4.23,1
Lysine,147.112806,11.13,12,1
Mannitol,183.086312,5.56,5.97,1
Methionine,150.058326,4.3,4.84,1
N-Acetyl-GN1P,302.0635436,6.59,7.07,1
N-Acetyl-MN,222.097216,4.5,5.17,1
N-Acety-MN6P,302.063576,6.59,7.07,1
NANA,310.113256,5.17,5.65,1
NAD,664.116396,6.12,6.54,1
Oxamate,90.018576,4.07,4.54,1
Phenylalanine,166.086256,3.22,3.98,1
PEP,168.9896504,8.44,8.78,1
Proline,116.070606,4.95,5.41,1
Ribose,151.0600994,4.32,4.82,1
R5P,231.0264298,7.05,7.54,1
S-Adenosylmethionine,399.144516,7.54,7.94,1
Selenomethionine,198.002772,4.22,4.73,1
Serine,106.0498724,6.69,7.08,1
Serotonine,177.102239,11.96,15.04,1
Succinyl-CoA,868.1385284,7.95,8.26,1
Threonine,120.065516,5.82,6.24,1
Tryptophan,205.0971536,4.5,5.02,1
Uridine,245.076816,2.81,3.67,1
UDP-N-acetyl-GN,608.0888455,6.9,7.34,1
Valine,118.086256,4.79,5.17,1
